name,description,categories,vendor_name,total_installs,total_reviews,has_free_trial,is_paid,is_free,support_status,is_jira_service,link,pricing_cloud_1,pricing_cloud_2,pricing_server_1,pricing_server_2,pricing_server_3,pricing_server_4,pricing_server_5
Auto Plan Time for TEMPO,Sync data between TEMPO calendars and Jira Issue fields,"Project management, Tasks, Time tracking, Utilities",OBSS,163,6,Try it free,Buy it now,,,,https://marketplace.atlassian.com/apps/1212891/auto-plan-time-for-tempo?hosting=server&tab=overview,,,$10,$100,$150,$200,$300
Time Tracking And Billing Reporting,Affordable and comprehensive time tracking for Jira,"Dashboard gadgets, Time tracking",jPlugs,182,13,Try it free,Buy it now,,,,https://marketplace.atlassian.com/apps/5274/time-tracking-and-billing-reporting?hosting=server&tab=overview,,,$10,$250,$400,$600,$900
Clockify: Time Tracking & Timesheet,The only 100% FREE time tracking and timesheet app for Jira,"Integrations, Project management, Reports, Time tracking",COING,"2,046",23,Get it now,,Free app,SUPPORTED,JIRA SERVICE MANAGEMENT,https://marketplace.atlassian.com/apps/1222624/clockify-time-tracking-timesheet?hosting=cloud&tab=overview,,,,,,,
Intelligent Reports,"Create professional, custom Microsoft Word reports from your Jira data","Charts & diagramming, Project management, Reports",Clarios Technology,,9,Try it free,Buy it now,,,,https://marketplace.atlassian.com/apps/1211118/intelligent-reports?hosting=datacenter&tab=overview,,,$100,$500,$900,"$1,200","$1,800"
Epic Sum Up - Light,Use epics as a project context and see all time spent in all containing issues,"Project management, Reports, Time tracking",APTIS GmbH,"2,872",30,Get it now,,Free app,UNSUPPORTED,JIRA SERVICE MANAGEMENT,https://marketplace.atlassian.com/apps/1213331/epic-sum-up-light?hosting=cloud&tab=overview,,,,,,,
Simple Custom Reports & Charts for Jira,"Create powerful, easy to use custom reports for kanban, scrum or any other teams. Get progress and status reports by user/project","Charts & diagramming, Project management, Reports",Agilis LT,147,3,Try it free,Buy it now,,SUPPORTED,JIRA SERVICE MANAGEMENT,https://marketplace.atlassian.com/apps/1218888/simple-custom-reports-charts-for-jira?hosting=cloud&tab=overview,$1,$1.25,$10,$160,$300,$500,"$1,000"
Agile Dashboard for Project Management,Manage your project smarter! Spot the challenges awaiting your team and use the knowledge to upgrade your work every day,"Dashboard gadgets, Project management, Reports",SolDevelo,82,26,Try it free,Buy it now,,SUPPORTED,JIRA SERVICE MANAGEMENT,https://marketplace.atlassian.com/apps/1219258/agile-dashboard-for-project-management?hosting=cloud&tab=overview,$2.5,$0.4,$10,$160,$300,$550,"$1,100"
Crystal Gantt - for JIRA,Gantt Visualization for your Project for better Task and Resource Management,"Charts & diagramming, Project management, Tasks",RadiantQ,143,8,Try it free,Buy it now,,SUPPORTED,JIRA SERVICE MANAGEMENT,https://marketplace.atlassian.com/apps/1219006/crystal-gantt-for-jira?hosting=cloud&tab=overview,$2,$0.3,,,,,
Harvest Time Tracking (Official),Harvest powered time tracking right from issues in Jira,Time tracking,Harvest,"2,611",130,Get it now,,Free app,SUPPORTED,,https://marketplace.atlassian.com/apps/1211628/harvest-time-tracking-official?hosting=cloud&tab=overview,,,,,,,
Pulse Timesheet with Worklogs Gadget,Smart Timesheet Report tool with dashboard gadget for your worklogs,"Dashboard gadgets, Reports, Time tracking, Utilities",PulseKit,133,9,Try it free,Buy it now,,SUPPORTED,,https://marketplace.atlassian.com/apps/1216636/pulse-timesheet-with-worklogs-gadget?hosting=cloud&tab=overview,$1,$0.2,,,,,
